Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Denmark","Europe","DNK","National","DNKt","Total",0.027,0.023,0.022,0.026,0.027,0.023,0.018,0.022,0.029,0.030,0.027,0.027,0.029,0.022,0.027,0.023,0.028,0.030,0.026,0.025,0.026,0.026,0.028,0.024,0.027,0.031,0.024,0.030,0.021,0.030,0.027,0.026,0.025
"Djibouti","Africa","DJI","National","DJIt","Total",0.008,0.008,0.010,0.011,0.008,0.010,0.010,0.012,0.010,0.007,0.009,0.007,0.010,0.008,0.009,0.008,0.013,0.007,0.005,0.005,0.009,0.007,0.005,0.009,0.007,0.006,0.009,0.006,0.008,0.011,0.010,0.006,0.006
"Dominica","America","DMA","National","DMAt","Total",0.035,0.031,0.033,0.032,0.030,0.037,0.039,0.030,0.043,0.034,0.031,0.029,0.031,0.035,0.047,0.051,0.037,0.034,0.040,0.031,0.045,0.058,0.040,0.040,0.032,0.028,0.041,0.039,0.034,0.034,0.036,0.028,0.036
"Dominican Republic","America","DOM","National","DOMt","Total",0.040,0.030,0.041,0.041,0.029,0.032,0.039,0.026,0.042,0.039,0.029,0.031,0.029,0.036,0.037,0.045,0.035,0.045,0.037,0.035,0.044,0.040,0.042,0.033,0.027,0.026,0.042,0.045,0.030,0.029,0.034,0.031,0.031
"Ecuador","America","ECU","National","ECUt","Total",0.074,0.080,0.095,0.087,0.084,0.083,0.074,0.125,0.131,0.090,0.085,0.085,0.091,0.080,0.074,0.069,0.081,0.077,0.087,0.078,0.083,0.081,0.093,0.080,0.085,0.093,0.083,0.094,0.084,0.093,0.075,0.088,0.077
"Egypt","Africa","EGY","National","EGYt","Total",0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.001,0.001
"El Salvador","America","SLV","National","SLVt","Total",0.044,0.040,0.046,0.055,0.037,0.070,0.060,0.044,0.062,0.063,0.044,0.037,0.043,0.047,0.047,0.067,0.051,0.054,0.067,0.042,0.075,0.061,0.041,0.046,0.045,0.043,0.041,0.054,0.047,0.047,0.064,0.049,0.064
"Equatorial Guinea","Africa","GNQ","National","GNQt","Total",0.098,0.092,0.085,0.099,0.102,0.094,0.095,0.095,0.098,0.116,0.105,0.090,0.099,0.104,0.102,0.083,0.096,0.103,0.100,0.104,0.088,0.096,0.097,0.089,0.103,0.090,0.102,0.105,0.099,0.113,0.098,0.102,0.090
"Eritrea","Africa","ERI","National","ERIt","Total",0.010,0.013,0.017,0.015,0.018,0.018,0.018,0.019,0.016,0.014,0.013,0.016,0.013,0.016,0.014,0.016,0.018,0.015,0.012,0.012,0.015,0.013,0.013,0.013,0.016,0.011,0.017,0.014,0.017,0.019,0.013,0.011,0.012
"Estonia","Europe","EST","National","ESTt","Total",0.028,0.025,0.021,0.024,0.024,0.025,0.020,0.023,0.027,0.022,0.025,0.026,0.020,0.023,0.026,0.021,0.019,0.025,0.030,0.026,0.027,0.024,0.031,0.021,0.023,0.023,0.027,0.028,0.019,0.026,0.026,0.025,0.023
"Eswatini","Africa","SWZ","National","SWZt","Total",0.032,0.030,0.019,0.024,0.022,0.031,0.032,0.039,0.033,0.032,0.049,0.036,0.022,0.022,0.034,0.027,0.035,0.023,0.026,0.030,0.035,0.028,0.031,0.031,0.029,0.020,0.023,0.031,0.026,0.026,0.030,0.035,0.034
"Ethiopia","Africa","ETH","National","ETHt","Total",0.035,0.034,0.034,0.038,0.035,0.035,0.042,0.040,0.036,0.033,0.032,0.036,0.031,0.033,0.034,0.036,0.039,0.034,0.032,0.028,0.038,0.033,0.033,0.036,0.036,0.030,0.033,0.033,0.037,0.039,0.036,0.029,0.028
"Fiji","Asia/Pacific","FJI","National","FJIt","Total",0.077,0.068,0.063,0.058,0.059,0.058,0.072,0.084,0.047,0.095,0.085,0.067,0.077,0.065,0.068,0.072,0.065,0.089,0.082,0.084,0.075,0.086,0.105,0.078,0.063,0.061,0.082,0.080,0.086,0.094,0.093,0.093,0.096
"Finland","Europe","FIN","National","FINt","Total",0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FInland","Europe","ALA","National","ALAt","Total",0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
